provider_id,year_month,days_reported,avg_daily_census,total_nurse_hours,total_contract_nurse_hours,avg_total_nurse_hours_per_resident_day,avg_rn_hours_per_resident_day,avg_contract_staff_ratio,provider_name,state,city,county,ownership_type,provider_type,certified_bed_count,overall_rating,staffing_rating,quality_measure_rating,bed_utilization_rate
015065,2024-04,30,145.73333333333332,11065.26,0.0,2.5325175848497237,0.27533927145534776,0.0,"PRATTVILLE HEALTH AND REHABILITATION, LLC",AL,,,For profit - Corporation,Medicare and Medicaid,162.0,1.0,2.0,2.0,0.899588477366255
015065,2024-05,31,141.67741935483872,10284.26,0.0,2.342223545836657,0.2107164216888124,0.0,"PRATTVILLE HEALTH AND REHABILITATION, LLC",AL,,,For profit - Corporation,Medicare and Medicaid,162.0,1.0,2.0,2.0,0.8745519713261649
015065,2024-06,30,136.0,10776.08,0.0,2.644926784392918,0.35473551584010077,0.0,"PRATTVILLE HEALTH AND REHABILITATION, LLC",AL,,,For profit - Corporation,Medicare and Medicaid,162.0,1.0,2.0,2.0,0.8395061728395061
015066,2024-04,30,56.6,5977.0,0.0,3.5191927335318445,0.5958794651859535,0.0,"TERRACE MANOR NURSING & REHABILITATION CENTER, INC",AL,,,For profit - Corporation,Medicare and Medicaid,63.0,5.0,4.0,2.0,0.8984126984126984
015066,2024-05,31,54.806451612903224,6896.19,0.0,4.058363212935778,0.6776603140687817,0.0,"TERRACE MANOR NURSING & REHABILITATION CENTER, INC",AL,,,For profit - Corporation,Medicare and Medicaid,63.0,5.0,4.0,2.0,0.8699436763952892
015066,2024-06,30,51.8,6431.13,0.0,4.137957710714511,0.6167212383480023,0.0,"TERRACE MANOR NURSING & REHABILITATION CENTER, INC",AL,,,For profit - Corporation,Medicare and Medicaid,63.0,5.0,4.0,2.0,0.8222222222222222
015067,2024-04,30,89.76666666666667,7494.13,0.0,2.784090138776692,0.5726496069324924,0.0,COTTAGE OF THE SHOALS,AL,,,For profit - Corporation,Medicare and Medicaid,103.0,3.0,1.0,2.0,0.8715210355987055
015067,2024-05,31,85.45161290322581,7738.68,0.0,2.9219458431007816,0.6805231419905408,0.0,COTTAGE OF THE SHOALS,AL,,,For profit - Corporation,Medicare and Medicaid,103.0,3.0,1.0,2.0,0.8296273097400564
015067,2024-06,30,90.63333333333334,7753.0199999999995,0.0,2.852799703772834,0.6172149455089865,0.0,COTTAGE OF THE SHOALS,AL,,,For profit - Corporation,Medicare and Medicaid,103.0,3.0,1.0,2.0,0.8799352750809062
015071,2024-04,30,43.53333333333333,4298.12,0.0,3.297617015152791,0.5911132968257635,0.0,ARABELLA HEALTH & WELLNESS OF RUSSELLVILLE,AL,,,For profit - Limited Liability company,Medicare and Medicaid,50.0,3.0,3.0,3.0,0.8706666666666666
015071,2024-05,31,47.25806451612903,4673.73,0.0,3.1935390511938713,0.5225816371528866,0.0,ARABELLA HEALTH & WELLNESS OF RUSSELLVILLE,AL,,,For profit - Limited Liability company,Medicare and Medicaid,50.0,3.0,3.0,3.0,0.9451612903225807
015071,2024-06,30,47.86666666666667,4611.65,0.0,3.210327408054187,0.5180474213725987,0.0,ARABELLA HEALTH & WELLNESS OF RUSSELLVILLE,AL,,,For profit - Limited Liability company,Medicare and Medicaid,50.0,3.0,3.0,3.0,0.9573333333333334
015073,2024-04,30,191.26666666666668,19391.65,0.0,3.3802664921412924,0.3122269064776974,0.0,"HANCEVILLE NURSING & REHAB CENTER, INC",AL,,,For profit - Corporation,Medicare and Medicaid,208.0,5.0,5.0,4.0,0.9195512820512821
015073,2024-05,31,192.93548387096774,20523.8,0.0,3.433679962148402,0.25013398648986696,0.0,"HANCEVILLE NURSING & REHAB CENTER, INC",AL,,,For profit - Corporation,Medicare and Medicaid,208.0,5.0,5.0,4.0,0.9275744416873449
015073,2024-06,30,188.3,20313.0,0.0,3.5933046206081363,0.3460863635155339,0.0,"HANCEVILLE NURSING & REHAB CENTER, INC",AL,,,For profit - Corporation,Medicare and Medicaid,208.0,5.0,5.0,4.0,0.9052884615384615
015075,2024-04,30,147.76666666666668,14025.93,3114.25,3.1651115769468805,0.39355129227742164,0.2195137970265614,"SUMMERFORD HEALTH AND REHAB, LLC",AL,,,For profit - Individual,Medicare and Medicaid,216.0,1.0,2.0,3.0,0.684104938271605
015075,2024-05,31,149.51612903225808,14238.35,3283.75,3.0711493082564996,0.38763251510135427,0.2273958848194386,"SUMMERFORD HEALTH AND REHAB, LLC",AL,,,For profit - Individual,Medicare and Medicaid,216.0,1.0,2.0,3.0,0.6922043010752689
015075,2024-06,30,148.63333333333333,13978.33,4032.25,3.134719596298259,0.45999914611899023,0.28315029940329967,"SUMMERFORD HEALTH AND REHAB, LLC",AL,,,For profit - Individual,Medicare and Medicaid,216.0,1.0,2.0,3.0,0.6881172839506172
015076,2024-04,30,226.86666666666667,25102.5,3648.75,3.689720763747899,0.36369725337225656,0.14617756824946002,FAIR HAVEN,AL,,,Non profit - Corporation,Medicare and Medicaid,259.0,2.0,4.0,2.0,0.875933075933076
015076,2024-05,31,230.0,26147.25,3171.5,3.667345366090253,0.3245772649387883,0.12186348870219613,FAIR HAVEN,AL,,,Non profit - Corporation,Medicare and Medicaid,259.0,2.0,4.0,2.0,0.888030888030888
015076,2024-06,30,230.23333333333332,25544.05,2950.05,3.698822065376899,0.34618163618222353,0.11568367833333983,FAIR HAVEN,AL,,,Non profit - Corporation,Medicare and Medicaid,259.0,2.0,4.0,2.0,0.8889317889317889
015083,2024-04,30,82.86666666666666,8299.880000000001,0.0,3.3378954329166364,0.481783274066513,0.0,"ELBA NURSING AND REHABILITATION CENTER, LLC",AL,,,For profit - Corporation,Medicare and Medicaid,111.0,1.0,4.0,1.0,0.7465465465465465
015083,2024-05,31,88.38709677419355,8805.41,0.0,3.2146471338223135,0.5296963700108005,0.0,"ELBA NURSING AND REHABILITATION CENTER, LLC",AL,,,For profit - Corporation,Medicare and Medicaid,111.0,1.0,4.0,1.0,0.7962801511188609
015083,2024-06,30,85.76666666666667,8404.3,0.0,3.2677959185408882,0.6280304945019923,0.0,"ELBA NURSING AND REHABILITATION CENTER, LLC",AL,,,For profit - Corporation,Medicare and Medicaid,111.0,1.0,4.0,1.0,0.7726726726726727
015084,2024-04,30,100.86666666666666,7928.46,0.0,2.62044024432864,0.10934663085668932,0.0,PARK PLACE,AL,,,For profit - Corporation,Medicare and Medicaid,103.0,2.0,2.0,4.0,0.9792880258899676
015084,2024-05,31,98.74193548387096,8250.5,0.0,2.696782289993598,0.10902301895703881,0.0,PARK PLACE,AL,,,For profit - Corporation,Medicare and Medicaid,103.0,2.0,2.0,4.0,0.9586595678045724
015084,2024-06,30,99.23333333333333,8491.01,0.0,2.851214477596225,0.10932859072073804,0.0,PARK PLACE,AL,,,For profit - Corporation,Medicare and Medicaid,103.0,2.0,2.0,4.0,0.9634304207119742
015089,2024-04,30,50.7,6027.5,0.0,3.963367354634161,0.2479575009490976,0.0,EVERGREEN NURSING HOME,AL,,,For profit - Corporation,Medicare and Medicaid,61.0,5.0,4.0,5.0,0.8311475409836067
015089,2024-05,31,54.67741935483871,6234.25,0.0,3.6807420096256873,0.21361252490476879,0.0,EVERGREEN NURSING HOME,AL,,,For profit - Corporation,Medicare and Medicaid,61.0,5.0,4.0,5.0,0.896351136964569
015089,2024-06,30,53.8,6021.75,0.0,3.730963685167616,0.21877796862466675,0.0,EVERGREEN NURSING HOME,AL,,,For profit - Corporation,Medicare and Medicaid,61.0,5.0,4.0,5.0,0.881967213114754
015091,2024-04,30,159.4,10871.69,0.0,2.274140498137769,0.13341738488323276,0.0,"NORTH HILL NURSING AND REHABILITATION CTR, LLC",AL,,,For profit - Corporation,Medicare and Medicaid,190.0,1.0,1.0,1.0,0.8389473684210527
015091,2024-05,31,154.58064516129033,11943.51,0.0,2.492236584813703,0.18610975801961252,0.0,"NORTH HILL NURSING AND REHABILITATION CTR, LLC",AL,,,For profit - Corporation,Medicare and Medicaid,190.0,1.0,1.0,1.0,0.8135823429541597
015091,2024-06,30,149.86666666666667,11605.53,0.0,2.5820651852428416,0.19852274064910427,0.0,"NORTH HILL NURSING AND REHABILITATION CTR, LLC",AL,,,For profit - Corporation,Medicare and Medicaid,190.0,1.0,1.0,1.0,0.7887719298245615
015097,2024-04,30,71.3,5155.96,0.0,2.410447558640487,0.41070339211596135,0.0,"SOUTH HEALTH AND REHABILITATION, LLC",AL,,,For profit - Corporation,Medicare and Medicaid,83.0,2.0,2.0,2.0,0.8590361445783132
